efs,QPS_HNSW,Recall_HNSW,QPS_ACORN,Recall_ACORN
10,5224.073336,0.002,591.281694,0.017
20,3649.251757,0.005,418.848201,0.056
30,2875.706362,0.003,288.514595,0.087
40,2717.838328,0.008,237.645968,0.102
50,2272.522566,0.008,202.990039,0.139
60,2107.658679,0.011,177.137864,0.119
70,2011.753082,0.014,142.652144,0.168
80,1481.327235,0.013,133.774965,0.173
90,1432.192284,0.021,125.050021,0.201
100,983.553292,0.03,108.903643,0.199
110,1201.087028,0.024,107.928767,0.208
120,1134.260904,0.02,106.108218,0.223
130,1116.432785,0.034,101.190385,0.244
140,1059.994794,0.027,96.300616,0.267
150,952.298610,0.027,89.100509,0.271
160,1009.928559,0.037,88.071502,0.315
170,751.653913,0.044,78.285358,0.311
180,667.235754,0.042,76.407442,0.322
190,898.861610,0.042,77.660015,0.331
200,852.849233,0.053,68.457700,0.345
210,809.303420,0.051,70.162446,0.346
220,711.859390,0.053,70.308261,0.358
230,673.613884,0.054,56.311507,0.372
240,714.091821,0.059,65.548710,0.366
250,661.008524,0.055,59.424943,0.4
260,687.696793,0.059,61.178281,0.402
270,646.483977,0.059,59.288628,0.412
280,612.553963,0.057,59.045955,0.446
290,630.565002,0.059,57.236236,0.418
300,576.265728,0.056,56.339365,0.414
310,564.499410,0.07,54.916022,0.442
320,549.417678,0.075,55.159266,0.437
330,549.266585,0.071,48.988148,0.437
340,498.765544,0.068,57.076947,0.476
350,512.247620,0.084,50.684389,0.476
360,493.481202,0.085,49.795490,0.464
370,497.861511,0.083,50.249968,0.474
380,422.093812,0.086,49.496200,0.473
390,476.201743,0.081,47.249776,0.496
400,468.757257,0.1,47.378993,0.49
410,348.292668,0.089,47.498153,0.506
420,433.375111,0.078,45.670109,0.507
430,430.926661,0.106,46.710683,0.53
440,359.576392,0.09,46.344118,0.526
450,404.061516,0.097,45.979820,0.511
460,399.254094,0.092,45.481422,0.539
470,414.853323,0.105,43.464200,0.564
480,394.577168,0.1,44.105381,0.554
490,375.572877,0.094,41.846797,0.555
500,358.739252,0.098,43.050674,0.558
510,314.103843,0.104,42.956007,0.567
520,364.770617,0.109,40.198228,0.561
530,322.117187,0.108,40.496767,0.552
540,348.541575,0.114,40.032700,0.574
550,348.914733,0.097,38.930139,0.572
560,256.695321,0.115,39.918980,0.565
570,312.876306,0.129,38.006222,0.598
580,331.519933,0.12,39.233551,0.58
590,261.491252,0.121,38.452312,0.575
600,341.667549,0.087,37.471977,0.603
610,325.352459,0.116,37.735206,0.593
620,311.211329,0.119,38.181390,0.593
630,274.970696,0.122,38.449915,0.608
640,296.812434,0.127,36.351093,0.614
650,293.304075,0.14,37.939044,0.613
660,297.691743,0.127,36.421580,0.61
670,294.073385,0.135,35.392005,0.615
680,291.014856,0.14,35.368559,0.628
690,280.105783,0.158,36.814662,0.62
700,283.484539,0.145,35.787662,0.629
710,271.676975,0.136,34.879530,0.64
720,271.328469,0.153,33.773253,0.642
730,272.384641,0.145,35.102967,0.638
740,263.647781,0.15,30.474111,0.632
750,268.106693,0.152,34.115570,0.645
760,256.717631,0.14,35.542880,0.657
770,256.159474,0.143,33.029181,0.662
780,265.358318,0.147,33.227105,0.642
790,249.977442,0.153,35.492156,0.662
800,237.526864,0.158,33.102631,0.643
810,244.722510,0.162,33.927839,0.649
820,244.652993,0.158,33.427051,0.661
830,234.401682,0.15,31.995108,0.665
840,215.055678,0.174,32.071882,0.667
850,248.389729,0.17,32.391044,0.681
860,227.852733,0.166,32.170271,0.673
870,230.452465,0.164,32.325581,0.685
880,223.025590,0.151,32.109480,0.684
890,226.665348,0.172,31.422136,0.675
900,229.160750,0.168,32.515071,0.698
910,192.268823,0.179,31.710576,0.669
920,219.039835,0.189,30.773283,0.679
930,207.273620,0.183,31.649495,0.684
940,221.868725,0.135,32.110748,0.691
950,214.488754,0.182,30.874880,0.697
960,212.339396,0.185,31.203187,0.682
970,218.897970,0.185,30.539497,0.713
980,208.131734,0.178,31.431242,0.694
990,207.392713,0.182,31.245197,0.7
1000,177.038123,0.186,29.886771,0.702